,0
532,165.0
533,29.0
534,180.0
535,65.0
536,103.0
537,37.0
538,74.0
539,69.0
540,155.0
541,69.0
542,82.0
543,44.0
544,64.0
545,76.0
546,77.0
547,143.0
548,78.0
549,102.0
550,101.0
551,93.0
552,229.0
553,97.0
554,31.0
555,40.0
556,209.0
557,77.0
558,245.0
559,155.0
560,73.0
561,76.0
562,42.0
563,168.0
564,268.0
565,74.0
566,73.0
567,88.0
568,252.0
569,152.0
570,163.0
571,312.0
572,45.0
573,48.0
574,173.0
575,64.0
576,462.0
577,86.0
578,125.0
579,491.0
580,105.0
581,38.0
582,41.0
583,92.0
584,78.0
585,104.0
586,101.0
587,37.0
588,47.0
589,141.0
590,54.0
591,306.0
592,183.0
593,38.0
594,417.0
595,54.0
596,82.0
597,73.0
598,32.0
599,205.0
600,88.0
601,71.0
602,83.0
603,125.0
604,71.0
605,151.0
606,68.0
607,239.0
608,94.0
609,78.0
610,133.0
611,69.0
612,150.0
613,173.0
614,110.0
615,62.0
616,99.0
617,218.0
618,20.0
619,187.0
620,115.0
621,49.0
622,92.0
623,158.0
624,87.0
625,123.0
626,269.0
627,130.0
628,133.0
629,97.0
630,160.0
631,0.0
632,57.0
633,71.0
634,57.0
635,114.0
636,255.0
637,293.0
638,81.0
639,137.0
640,64.0
641,124.0
642,85.0
643,27.0
644,92.0
645,119.0
646,129.0
647,85.0
648,186.0
649,413.0
650,285.0
651,137.0
652,109.0
653,144.0
654,41.0
655,190.0
656,79.0
657,157.0
658,0.0
659,74.0
660,84.0
661,81.0
662,94.0
663,59.0
664,96.0
665,132.0
666,301.0
667,156.0
668,95.0
669,134.0
670,188.0
671,71.0
672,69.0
673,187.0
674,60.0
675,125.0
676,69.0
677,67.0
678,486.0
679,77.0
680,84.0
681,53.0
682,0.0
683,64.0
684,201.0
685,135.0
686,69.0
687,77.0
688,76.0
689,101.0
690,155.0
691,100.0
692,73.0
693,154.0
694,144.0
695,64.0
696,129.0
697,65.0
698,86.0
699,0.0
700,84.0
701,118.0
702,111.0
703,95.0
704,42.0
705,86.0
706,84.0
707,101.0
708,49.0
709,56.0
710,125.0
711,75.0
712,197.0
713,160.0
714,209.0
715,118.0
716,87.0
717,99.0
718,118.0
719,155.0
720,137.0
721,130.0
722,179.0
723,32.0
724,115.0
725,58.0
726,23.0
727,466.0
728,206.0
729,222.0
730,1408.0
731,73.0
732,175.0
733,44.0
734,45.0
735,92.0
736,297.0
737,181.0
738,66.0
739,89.0
740,71.0
741,603.0
742,103.0
743,72.0
744,76.0
745,53.0
746,377.0
747,118.0
748,34.0
749,144.0
